geo_id,zipcode,population
8600000US99128,99128,321
8600000US03875,3875,833
8600000US51454,51454,1346
8600000US76374,76374,4162
8600000US72360,72360,6466
8600000US11024,11024,8002
8600000US53205,53205,10050
8600000US31556,31556,67
8600000US50120,50120,323
8600000US16364,16364,1347
8600000US41222,41222,2627
8600000US67039,67039,3395
8600000US68338,68338,324
8600000US78592,78592,836
8600000US23123,23123,1860
8600000US50248,50248,4420
8600000US04852,4852,69
8600000US58052,58052,581
8600000US95742,95742,7749
8600000US29691,29691,11333
8600000US42153,42153,326
8600000US01037,1037,838
8600000US57523,57523,1094
8600000US15338,15338,1606
8600000US82937,82937,3654
8600000US46710,46710,4679
8600000US77071,77071,25671
8600000US23480,23480,328
8600000US27014,27014,840
8600000US47980,47980,1096
8600000US66945,66945,1096
8600000US17569,17569,5448
8600000US74857,74857,9288
8600000US34235,34235,13640
8600000US54660,54660,15688
8600000US64457,64457,329
8600000US72846,72846,3913
8600000US28630,28630,20041
8600000US72038,72038,74
8600000US76953,76953,74
8600000US14132,14132,6218
8600000US44878,44878,3147
8600000US29702,29702,10059
8600000US55076,55076,21323
8600000US49684,49684,37963
8600000US91776,91776,38475
8600000US56515,56515,2892
8600000US06375,6375,3660
8600000US49425,49425,3660
8600000US92372,92372,6220
8600000US00736,736,51532
8600000US38767,38767,77
8600000US29658,29658,333
8600000US44807,44807,2381
8600000US49404,49404,8269
8600000US60630,60630,54093
8600000US54214,54214,334
8600000US39643,39643,1102
8600000US28729,28729,2894
8600000US14092,14092,11086
8600000US02067,2067,17486
8600000US13077,13077,6735
8600000US73851,73851,80
8600000US39886,39886,1616
8600000US14871,14871,5456
8600000US54645,54645,81
8600000US64648,64648,2129
8600000US95120,95120,37457
8600000US46183,46183,82
8600000US54177,54177,2898
8600000US01908,1908,3410
8600000US33980,33980,10322
8600000US18071,18071,10578
8600000US29403,29403,20818
8600000US44082,44082,1619
8600000US46772,46772,3411
8600000US45248,45248,24915
8600000US20319,20319,84
8600000US02659,2659,1108
8600000US21773,21773,5460
8600000US42731,42731,341
8600000US77448,77448,341
8600000US78606,78606,5205
8600000US29617,29617,25685
8600000US13126,13126,37205
8600000US10028,10028,45141
8600000US57481,57481,598
8600000US49061,49061,1622
8600000US56511,56511,1878
8600000US01057,1057,8534
8600000US39090,39090,13398
8600000US60476,60476,2391
8600000US72088,72088,2391
8600000US36571,36571,14423
8600000US52555,52555,344
8600000US77577,77577,1368
8600000US39335,39335,3160
8600000US65672,65672,9048
8600000US70445,70445,10840
8600000US03063,3063,16216
8600000US80503,80503,31064
8600000US07846,7846,89
8600000US55784,55784,89
8600000US59243,59243,345
8600000US67764,67764,345
8600000US78008,78008,345
8600000US39309,39309,601
8600000US79908,79908,3673
8600000US94127,94127,19289
8600000US50472,50472,2394
8600000US44128,44128,29274
8600000US07663,7663,13659
8600000US46038,46038,37723
8600000US08246,8246,92
8600000US60911,60911,1372
8600000US83427,83427,1372
8600000US20860,20860,2396
8600000US84115,84115,24668
8600000US36117,36117,50268
8600000US45808,45808,349
8600000US99586,99586,605
8600000US39459,39459,3677
8600000US92082,92082,19037
8600000US60804,60804,84573
8600000US43235,43235,38493
8600000US67071,67071,94
8600000US75411,75411,1118
8600000US05454,5454,4447
8600000US15717,15717,10847
8600000US67801,67801,30559
8600000US90503,90503,44383
8600000US56056,56056,96
8600000US70643,70643,352
8600000US74720,74720,608
8600000US52356,52356,2656
8600000US46732,46732,3169
8600000US85138,85138,33633
8600000US26321,26321,354
8600000US41174,41174,1122
8600000US36273,36273,2914
8600000US04093,4093,8034
8600000US52160,52160,867
8600000US37317,37317,2403
8600000US80021,80021,30051
8600000US19435,19435,100
8600000US21040,21040,24420
8600000US27870,27870,27236
8600000US43434,43434,101
8600000US62956,62956,869
8600000US20684,20684,1125
8600000US43314,43314,3173
8600000US49655,49655,3173
8600000US45380,45380,5477
8600000US17554,17554,7525
8600000US24450,24450,16741
8600000US53121,53121,19045
8600000US66049,66049,25957
8600000US65468,65468,102
8600000US57756,57756,1126
8600000US86333,86333,5734
8600000US33860,33860,22886
8600000US31410,31410,23654
8600000US16155,16155,103
8600000US54428,54428,1127
8600000US28624,28624,1639
8600000US71371,71371,2151
8600000US72944,72944,2919
8600000US92277,92277,23911
8600000US58454,58454,360
8600000US52070,52070,1128
8600000US48890,48890,2152
8600000US29112,29112,4712
8600000US55308,55308,9064
8600000US19060,19060,11368
8600000US74011,74011,25448
8600000US13794,13794,105
8600000US75565,75565,361
8600000US77049,77049,28521
8600000US73855,73855,106
8600000US83262,83262,1386
8600000US55946,55946,3178
8600000US93433,93433,13162
8600000US27981,27981,1643
8600000US71429,71429,3179
8600000US77037,77037,19819
8600000US41861,41861,108
8600000US12887,12887,4972
8600000US76164,76164,16748
8600000US75219,75219,22124
8600000US41740,41740,877
8600000US65685,65685,877
8600000US79234,79234,110
8600000US72051,72051,622
8600000US78330,78330,878
